body,category
accidente registró jornada comuna lota región bío bío hombre sufrió caída ruinas ex empresa nacional carbón enacar trata persona junto acompañante visitaron ruinas hombre cayó 5 metros altura interior planta lavados lugar unidades emergencia primera compañía bomberos atendieron lesionado ahora constataron fractura piernas personal samu llegó lugar realizó traslado hombre lesionado hospital lota,Catástrofes y Accidentes
arresto domiciliario nocturno arraigo nacional firma mensual carabineros quedó conductor imputado presunto responsable fatal accidente ocurrido ayer victoria región araucanía involucró 20 vehículos dejó dos fallecidos menos diez personas lesionadas audiencia formalización ministerio público acusó involucrado chofer camiones involucrados choque autor cuasidelito homicidio cuasidelito lesiones graves debido responsabilidad accidente región araucanía relacionadadetalle1000273 según diligencias realizadas policía determinó imputado atento condiciones climáticas tránsito desplazamiento generando lamentable colisión debido irreprochable conducta anterior juzgado garantía victoria determinó medidas cautelares menor medida mientras dure investigación plazo cuatro meses,Catástrofes y Accidentes
noche miércoles cinco sujetos protagonizaron accidente tránsito sector purísima bellavista comuna recoleta trasladaban camioneta robado previamente comuna vitacura mientras víctima servicentro tras ello inició persecución policial terminó antisociales impactando postes ubicados ingresos ruta costanera si bien intentaron darse fuga detenidos persecución comenzó vitacura terminó purísima bellavistadelincuentes impactaron camioneta poste sido sustraída servicentrohasta ahora 5 detenidos meganoticiascl pictwittercomsmb1lombu1 camila lilette espinoza camilalilette january 21 2021 persecución comenzó vitacura terminó purísima bellavistadelincuentes impactaron camioneta poste sido sustraída servicentrohasta ahora 5 detenidos meganoticiascl pictwittercomsmb1lombu1 teniente juan rivas prefectura santiago andes detalló produjo robo intimidación persona interior servicentro vitacura víctima iba cargar combustible abordado auto cuyo interior cinco personas intimidaron armas fuego quitarle camioneta posteriormente inicia operativo logramos avistar vehículo iniciándose seguimiento llegar bellavista purísima sujetos pierden control volante impactan baranda lugar procede detención agregó cinco asaltantes mayores edad dos resultaron lesiones caracter reservado siendo trasladados hospital salvador parte víctima resultó lesiones,Catástrofes y Accidentes
accidente registró horas mañana martes cerca puente curileufu comuna río bueno región ríos ocurrió localidad crucera conductor identificado juan ignacio vergara martínez 20 años perdió control automóvil conducía chocó barrera contención según reportado víctima fatal conducía junto integrantes familia salido ruta impactado barrera contención conductor murió lugar mientras tres acompañantes atendidos personal samu fiscal sergio fuentes manifestó forma preliminar ingesta alcohol causa accidente deberá ser indagado siat carbineros personal servicio médico legal retiró cuerpo lugar realizar autopsia correspondiente,Catástrofes y Accidentes
emergencia registró medio labores construcción realiza empresa comuna ñuñoa debido accidente sufrió trabajador caer tercer piso obra tras precipitarse persona quedó viva atrapada encendió alerta arribo tres unidades cuerpo bomberos santiago desplegó maniobras rescate situación encendió alarmas obligó corte tránsito sector avenida zañartu pedro valdivia permitir trabajo bomberos personal especializado realizar tipo procedimiento así tras labores conjunto funcionarios compañías ñuñoa santiago logró rescate obrero tras despliegue camilla arnés seguridad ahora conjunto cbsantiago trabajamos salvamento persona caída tercer piso edificio construcción bombaquinta sextacbn bomba2cl cuartacompania bombaisrael mutualcchc samumetropolita pictwittercomrzcpnsqfoe cuerpo bomberos ñuñoa bomberosnunoa december 31 2020 ahora conjunto cbsantiago trabajamos salvamento persona caída tercer piso edificio construcción bombaquinta sextacbn bomba2cl cuartacompania bombaisrael mutualcchc samumetropolita pictwittercomrzcpnsqfoe tras lograr extraer camilla uso grúa bomberos trabajador encontraba totalmente inmovilizado trasladado mutual seguridad verificar salud luego sufrir accidente laboral labor voluntarios bombaquinta apoyo jurisdicción cbs rescate persona pedro valdivia zañartu ñuñoa bomberosdesantiagoconstanciaydisciplina pictwittercomteud7qqgrk cuerpo bomberos santiago cbsantiago december 31 2020 labor voluntarios bombaquinta apoyo jurisdicción cbs rescate persona pedro valdivia zañartu ñuñoa bomberosdesantiagoconstanciaydisciplina pictwittercomteud7qqgrk,Catástrofes y Accidentes
accidente tránsito ocurrió comuna futrono vio involucrado gobernador provincia ranco alonso pérez arce según información preliminar hecho comunicado mismo gobernador contactó carabineros indicó haber sufrido accidente junto funcionarios gobierno acompañaban accidente ocurrió autoridad participaba actividad instituto desarrollo agropecuario indap dirigía sector rupumeica bajo futrono chocó frente camioneta camino rural fiscalía indican momento descarta presencia alcohol ámbito indagatorio accidente tránsito autoridad gobiernos resultado lesiones consecuencia hechos diferencia dos funcionario gubernamentales acompañaban quedaron heridas menores,Catástrofes y Accidentes
pasadas 21 horas jueves diputado renovación nacional frank sauerbaum sufrió accidente automovilístico autopista itata región biobío según información preliminar parlamentario 48 años resultó lesiones graves tras colisionar alcance vehículo siendo trasladado servicio atención urgencia alta resolución sar penco conductor involucrado incidente llevado mismo centro atención encuentra constatando lesiones según consignó cooperativa acuerdo información entregada carabineros diputado sauerbaum único ocupante vehículo deberá someterse test alcoholemia correspondiente igual conductor según indica protocolo,Catástrofes y Accidentes
menos 18 personas murieron domingo colisión autobús tren tailandia accidente lugar 50 kilómetros capital bangkok bus pasajeros dirigía templo provincia chachoengsao participar ceremonia motivo fin cuaresma budista momento número muertos eleva 18 comunicó jefe policía distrito gobernador provincial maitree tritilanond entregó detalles acerca accidente ahora registra menos 40 lesionados foto afp autoridad indicó teme número fallecidos heridos aumente dado quedó vehículo dificultad rescatar personas atrapadas tipo emergencias habituales tailandia país 2018 ocupaba segundo lugar muertos accidentes tráfico mundo según informe organización mundial salud oms,Catástrofes y Accidentes
caída ómnibus despeñadero dejó 19 pasajeros muertos 17 heridos domingo suroeste bolivia accidente tráfico grave año según informó lunes jefe policial reportar lamentablemente 19 personas fallecido 17 encuentran heridas mismos trasladadas hospital ciudad minera llallagua departamento andino potosí señaló comandante policía regional josé cuevas citado radio fides policía baraja hipótesis conductor vehículo circulaba demasiada velocidad autoridades tránsito iniciaron inmediatamente investigación tras flexibilización cuarentena bolivia raíz pandemia coronavirus viajes interiores permitidos cumplimiento medidas bioseguridad fronteras internacionales siguen cerradas embargo líneas aéreas comerciales aún esperan poder operar países anterior accidente tráfico grave año bolivia registró 28 enero dejó 13 muertos tres heridos,Catástrofes y Accidentes
tras procedimiento reconstitución escena realizado jueves humberto alarcón abogado defensor cabo conducía vehículo armada atropelló resultado muerte joven talcahuano tras estallido social 18o manifestó dados antecedentes manejan trató lamentable accidente reconstitución escena muerte manuel rebolledo navarrete 23 cargada tensión especialmente vehículo infantes marina recorrían calle gran bretaña acuerdo sucedido 21 octubre año pasado carro eludió barricada incendiaria entrando zona eriaza víctima hallaba junto dos personas echaron correr siendo alcanzado pesado automóvil muriendo lugar alarcón explicó diligencia reconstitución escena realizada jueves viene ratificar defensa sostenido base antecedentes contenidos carpeta investigación así distintos videos hechos dan cuentan hechos investiga ministerio público tratan lamentable accidente ocurre inmediaciones calle gran bretaña comuna talcahuano renglón seguido alarcón prosiguió personal armada chile concurrir dado establecimiento comercial frigorífico zona siendo objeto saqueo parte innumerables personas cuales ver presencia funcionarios armada proceden huir sector dada comisión ilícitos realizando finalmente defensor explica teoría caso señala sujetos huye resbala cae impactado navarrete camión armada provocándole lamentablemente pérdida vida asimismo añadió lleva obviamente concluir aquí ningún caso puede atribuir algún tipo responsabilidad penal representado cuanto hechos tratan lamentable accidente abogado representa familia fallecido nelson villena explicó conductor único imputado ahora cabo segundo leonardo medina caamaño vio peatón pudo evitar atropello lanzó intencionalmente víctima configuraría homicidio simple cuasi delito reconstitución escena jueves móvil implicado repitió trayecto menos seis ocasiones cada infantes insultados familiares amigos manuel familiares justicia traduce prisión efectiva acusado indicaron constanza aburto prima agustina ibacache abuela además aseguraron atropello accidental sino crimen intencional infante marina conducía pesado vehículo decidió intervenir diligencia permite ley aunque realmente importante comentó fiscal jefe talcahuano julián muñoz fiscal descartó imputados admitiendo seguramente solicitará ampliar plazo investigación ejecutar pesquisas diligencias,Catástrofes y Accidentes
persona muerta dejó saldo accidente ocurrido madrugada viernes región metropolitana específico hecho lugar intersección autopista general velásquez departamental punto acuerdo información preliminar dos vehículos chocaron matías lópez teniente segundo bomberos indicó ocurrido trató colisión alcance dos vehículos particulares asimismo agregó momento arribaron sitio suceso dos personas atrapadas interior móviles mientras personal samu pese trabajos reanimación confirmó deceso persona fallecida respecto dos personas lesionadas ambas derivadas centro asistencial,Catástrofes y Accidentes
miércoles diputada daniella cicardini ps accidente vehicular ruta 68 mientras dirigía congreso trasladada hospital casablanca ser atendida respecto diputado luis rocafull ps comunicó atrapada fierros pudieron sacar haber llegado ambulancia hospital casablanca centro hospitalario cercano lugar esperamos luego revisión van tener hacer médicos exámenes esperamos grave leve allá susto indicó lado manifestó menos pudo conversar bajo nerviosismo toda persona colisiona través declaración cámara reportó producto accidente existen personas lesionadas parlamentaria expuso atendida trasladada hospital casablanca practicando exámenes constatando lesiones policontusiones carácter leve sucedido corporación manifiesta preocupación espera pronta recuperación parlamentaria agregó comunicado accidente diputada dani_cicardini ruta 68 parlamentaria trasladada hospital casablanca policontusiones leves lesionadosesperamos diputada recupere prontamente pictwittercom5oxnazoswa diputadas diputados chile camara_cl december 16 2020 comunicado accidente diputada dani_cicardini ruta 68 parlamentaria trasladada hospital casablanca policontusiones leves lesionadosesperamos diputada recupere prontamente pictwittercom5oxnazoswa,Catástrofes y Accidentes
trágico accidente ocurrió viernes autopista vespucio norte sector perteneciente comuna independencia conductor motocicleta perdió vida tras choque enorme caída ocurrió luego camión estacionara pistas luego sufrir desperfecto tras furgón jeep realizaron maniobras adelantar vehículo carga trasladándose segunda vía anterior provocó motorista venía ruta impactara jeep saliera proyectado paso nivel cayendo hacia calle inferior pese recibir primeros auxilios parte bomberos conductor motocicleta falleció lugar serie eventos van desencadenando trágicamente parte hecho camión detenido lugar debería berma existe señaló ingeniero transportes ariel lópez apuntó existir berma personas quedan panne cualquier persona queda expuesta condición altísima inseguridad finalmente experto sostuvo problema equidad distribución espacio casi toda vialidad construido pensando auto auto sido unidad atómica ciudad peritajes realizados personal sección investigación accidentes tránsito siat deberá determinar responsabilidad fatal accidente,Catástrofes y Accidentes
vidrios rotos escombros varios heridos saldo dejó terrible accidente turquía auto desenfrenado chocó local comercial llevándose paso misma escena pocos centímetros sucedido dos hermanos menores edad salvaron milagrosamente involucrado hecho ocurrió ciudad gaziantep chofer vehículo perdió control automóvil atropellando transeúntes dejando atrapadas personas encontraban interior tienda carrera auto pasó centímetros pequeña niña encontraba cuidando hermano bordo coche paseo video turquía conductor auto perdiò control chocó negocio accidente dejò tres adultos lesiones regulares además dos niños resultaron ilesos pictwittercomcqa8cl7th6 tv azteca jalisco tvaztecajalisco september 17 2020 video turquía conductor auto perdiò control chocó negocio accidente dejò tres adultos lesiones regulares además dos niños resultaron ilesos pictwittercomcqa8cl7th6 clip pueden ver dos hombres heridos multitud personas llegan auxiliar víctimas accidente incluyendo niñas centímetros salvaron posible muerte imágenes revelan miedo niña grande intenta alejarse despavorida ocurriendo dejando solo minutos hermano coche inocente ocurriendo según revelan medios locales padres menor interior local haciendo unas compras ocurrió accidente embargo desconoce ahora salud ambos,Catástrofes y Accidentes
exceso velocidad calles imprudencia conductores vehículos factores ayudan explicar aumento casos ciclistas fallecidos accidentes tránsito va año según cifras ministerio transportes enero septiembre pasado registraron 85 decesos siniestros viales 28 mismo periodo 2019 llevado organizaciones realicen cicletadas masivas alertar actual riesgo calles hechos recientes ocurrió viernes pasado murió periodista christian martínez santos 30 cuya bicicleta embestida bus transantiago av carmen av santa isabel factores explican cantidad muertes año johanna vollrath secretaria ejecutiva comisión nacional seguridad tránsito conaset afirma aumento velocidad vía pública muchas personas sumaron medio transporte pandemia principales factores lleva mayor cantidad personas expuesta señala vollrath añade cada día realizan millón viajes bicicleta solo capital pues modo destinado solo entretención deporte sino personas desplazan concurrir trabajos ello conaset diseñó plan acción seguridad vial integrado diversos ministerios llevar adelante iniciativas reducir muertes exceso velocidad incluye mayor fiscalización labor debe ser realizada carabineros poner celeridad proyecto ley creará centro automatizado tratamiento infracciones cati busca instalar cámaras sancionar automovilistas cumplan límites iniciativa encuentra discusión senado sandra aguilera coordinadora colectivo muévete plantea problema radica fiscaliza adecuadamente conductores visto especial cada vez transporte público camiones involucrados accidentes afectan ciclistas añade municipalidades deben cumplir instalación señalética destinada informar respecto medidas ejemplo zonas velocidad reducida letreros indican ciclovías cruces especiales ciclistas disposiciones cumple pequeña parte comunas dijo advierte personas siguen manteniendo licencia conducir pesar involucradas accidentes tránsito pues antecedentes revisados ariel lópez investigador núcleo movilidad territorios movyt coincide velocidad automóviles aumentó pandemia debido menor tráfico llevó mayor cantidad accidentes zonas urbanas experto explica podría dar mayor seguridad denominados usuarios vulnerables decir ciclistas peatones si logra subsanar déficit infraestructura especial ciclovías realidad viajeros bicicleta circulan vía pública respete espacio genera siniestros viales dijo según cifras oficiales existen 350 kilómetros ciclovías capital mientras nivel nacional cifra asciende 1200 kilómetros considerado insuficiente organizaciones aunque recientemente inaugurado iniciativas ciclovía mapocho 25 kilómetros además sendas temporales suma requieren semáforos destinados darles tiempos cruzar recientemente demarcado calles avenidas comunas hacer ciclovías temporales luego construya senda alto estándar victorino goldberg director organización map8 señala necesario ampliar red sendas emergencia diversas comunas dada alta circulación ciclistas últimos meses anunció presentarán proyecto gobierno regional metropolitano apruebe 72 kilómetros ciclovías temporales ancho 15 metros demarcadas pintura goldberg agrega nivel general incide escenario clases seguridad vial escuelas debería retomar favor inicia sesión tercera acceder comentarios,Catástrofes y Accidentes
arresto domiciliario parcial nocturno quedó conductor camión ocasionado accidente múltiple ocurrido viernes ruta 5 comuna victoria región araucanía dejó dos personas fallecidas decisión tomada juzgado garantía victoria formalizó hombre presunto autor cuasidelito homicidio cuasidelito lesiones graves además arresto domiciliario nocturno sujeto recibió medidas cautelares arraigo nacional firma mensual plazo investigación caso fijado tribunal cuatro meses ahora juzgado garantía victoria decreta arresto domiciliario parcial nocturno arraigo nacional firma mensual rodolfo matuz carrasco imputado autor cuasidelito homicidio cuasidelito lesiones graves plazo investigación 4 meses acuerdo peritajes efectuados personal carabineros imputado provocado accidente efectuar conducción descuidada mala maniobra colisión múltiple acontecida alrededor 0700 horas cruce turbina vieron involucrados veintena vehículos cuales resultaron calcinados densa niebla presente lugar dificultado visión conductores tal explicó general carabineros carlos gonzález detalló accidente origina principalmente condiciones meteorológicas mañana hacer presente sector particular escasa visibilidad hora accidente accidente además dejó dos víctimas fatales ambas efectivos carabineros retiro fallecidos identificados suboficial mayor r carlos ponce comandante r josé correa desempeñaba jefe seguridad declarado causa homicidio comunero mapuche camilo catrillanca,Catástrofes y Accidentes
accidente tránsito protagonizó mañana jueves alcalde lebu cristian peña ocurrió ruta 160 sector pichiarauco comuna curanilahue causas deben ser investigadas jefe comunal perdió control vehículo desplazaba dirección sur norte tras choque vehículo quedó costado carretera alcalde acompañado esposa según información maneja radi bío bío ambos ilesos tras accidente dos trasladados ambulancia hospital curanilahue constatar lesiones,Catástrofes y Accidentes
kel calderón compartió semana seguidores querida asesora hogar nancy huenupe sufrió accidente cerebrovascular mientras encontraba afortunadamente hija raquel argandoña rápida reacción llevó clínica sector oriente médicos detectaron hemorragia cerebral pudo ser tratada tiempo hija nancy huenupe alejandra conversó cuarta dio detalles salud actual madre aprovechó agradecer kel diligente actuar mamá accidente cerebrovascular gracias reacción kel llevó rápidamente clínica presenta secuelas físicas comentó alejandra encuentra bastante bien evolucionado gran manera atendida momento oportuno gracias dios pasó mayores complementó frente preocupación generó noticia seguidores influencer egresada derecho propia nancy huenupe publicó instagram fotografía actualizar salud agradecer internautas preocupados allí mujer señaló recuperando poquito además recomendar si algún síntoma nunca dejen pasar pequeño parezca tiempo demoren recibir atención médica crucial view this post on instagrama post shared by nancy huenupe nancyhuenupe post shared by nancy huenupe nancyhuenupe,Catástrofes y Accidentes
pasado 19 marzo comenzó regir chile excepción constitucional decretado después llegada coronavirus país fuerzas armadas asumieron rol protagónico labores fiscalización cumplimiento medidas sanitarias embargo aquellas funciones traído consecuencias funcionarios según datos proporcionados defensa 10 meses lleva excepción 115 efectivos sufrido algún accidente tránsito incluye atropellos choques volcamiento agresiones intento atropello evasión puntos control relacionadasdetalle10090061008946 último caso conoció ocurrió madrugada sábado mujer arrolló militar curicó encontraba fiscalizando cumplimiento toque queda producto hecho funcionario sufrió amputación ambas piernas acuerdo reporte ministerio ahora funcionario fallecido atropellado junio puerto montt conductor intentó evitar control imputado quedó prisión preventiva junto 10 efectivos resultado lesiones graves 28 lesiones leves 76 sufrido lesiones informe señala además ejército rama fuerzas armadas accidentes acumula 99 casos luego sigue armada 14 fuerza aérea 2 respecto ministro defensa baldo prokurica afirmó visto 10 meses ffaa cumpliendo deber resguardar pandemia excepción constitucional 115 efectivos sido afectados personas eluden evitan controles cuales terminado fallecido 38 lesiones graves menos graves 76 funcionarios sido afectados aquellos respetan control protocolos sanitarios queremos hacer llamado respetar efectivos ffaa cumpliendo deber resguardan salud vida chilenos única forma cumplir protocolos exigidos autoridad sanitaria acotó secretario,Catástrofes y Accidentes
